Vertical,Red_Social,Modelo,Fecha,Predicciones
auto,YT_Shorts,Prophet,2025-07-01,9230.515910657756
auto,YT_Shorts,Prophet,2025-08-01,14001.772162929936
auto,YT_Shorts,Prophet,2025-09-01,6129.854986617086
auto,YT_Shorts,Prophet,2025-10-01,13795.000840501469
auto,YT_Shorts,Prophet,2025-11-01,5923.0836641996175
auto,YT_Shorts,Prophet,2025-12-01,13588.229518103824
cine,FB,RNN,2025-07-01,50085820.0
cine,FB,RNN,2025-08-01,43678996.0
cine,FB,RNN,2025-09-01,56253624.0
cine,FB,RNN,2025-10-01,48252008.0
cine,FB,RNN,2025-11-01,51716608.0
cine,FB,RNN,2025-12-01,52745272.0
comida,IG,RNN,2025-07-01,8114919.0
comida,IG,RNN,2025-08-01,7380228.5
comida,IG,RNN,2025-09-01,7013089.0
comida,IG,RNN,2025-10-01,7776983.5
comida,IG,RNN,2025-11-01,7943330.0
comida,IG,RNN,2025-12-01,8061173.0
tech,TikTok,RNN,2025-07-01,13364509.0
tech,TikTok,RNN,2025-08-01,14555465.0
tech,TikTok,RNN,2025-09-01,12332349.0
tech,TikTok,RNN,2025-10-01,11312811.0
tech,TikTok,RNN,2025-11-01,13124039.0
tech,TikTok,RNN,2025-12-01,13062801.0
cine,YT_Shorts,RNN,2025-07-01,3623142.5
cine,YT_Shorts,RNN,2025-08-01,5671416.0
cine,YT_Shorts,RNN,2025-09-01,6788043.0
cine,YT_Shorts,RNN,2025-10-01,5842096.5
cine,YT_Shorts,RNN,2025-11-01,7296882.5
cine,YT_Shorts,RNN,2025-12-01,7944005.0
cine,YT_Long,RNN,2025-07-01,49085.890625
cine,YT_Long,RNN,2025-08-01,58888.375
cine,YT_Long,RNN,2025-09-01,63887.22265625
cine,YT_Long,RNN,2025-10-01,64493.32421875
cine,YT_Long,RNN,2025-11-01,68622.0703125
cine,YT_Long,RNN,2025-12-01,72582.1875
auto,IG,RNN,2025-07-01,22020780.0
auto,IG,RNN,2025-08-01,28676356.0
